CONSTITUENCY: ST. ANDREW SOUTH WESTERN (8),,,,,,,,,
POLLING STATION LOCATION,,,,,,,,,
ELECTORAL DIVISION: WHITFIELD TOWN (20),,,,,,,,,
83 83 ENID ANGLIN COMMUNITY CENTRE,0,75,,,,2,77,31.43%,245
84 84 ENID ANGLIN COMMUNITY CENTRE,0,93,,,,1,94,32.41%,290
ELECTORAL DIVISION TOTALS 45 PSs,342,"3,395",0,0,0,64,"3,801",32.10%,"11,842"
CONSTITUENCY TOTALS 89 PSs,774,"6,203",0,0,0,108,"7,085",30.11%,"23,533"
CONSTITUENCY: ST. MARY SOUTH EASTERN (20),,,,,,,,,
POLLING STATION LOCATION,,,,,,,,,
ELECTORAL DIVISION: RICHMOND (1),,,,,,,,,
1 1 LEWISBURGH SEVENTH DAY ADVENTIST,27,60,,,,0,87,65.91%,132
2 2 BRAINERD BASIC SCHOOL,28,55,,,,0,83,54.25%,153
3 3 ZEPHENIAH WHITFIELD'S PREMISES,42,79,,,,1,122,71.76%,170
4 4 LEWISBURGH ALL AGE SCHOOL,23,27,,,,0,50,71.43%,70
5 5 RICHMOND GOSPEL HALL BASIC SCHOOL,177,116,,,,2,295,67.51%,437
6 6 RICHMOND UNITED CHURCH,97,79,,,,0,176,57.70%,305
7 7 RICHMOND UNITED CHURCH,82,104,,,,6,192,67.37%,285
8 8 RICHMOND COURT HOUSE,54,64,,,,1,119,60.10%,198
9 9 BETHEL UNITED CHURCH,131,67,,,,0,198,55.46%,357
10 10 ELLIOT ALL AGE SCHOOL,100,126,,,,0,226,55.26%,409
11 11 EBENEZER GOSPEL HALL CHURCH,56,93,,,,0,149,67.73%,220
12 12 VOILET GUTZMORE'S PREMISES,43,34,,,,0,77,71.30%,108
13 13 RICHMOND ROAD PRIMARY SCHOOL,27,42,,,,1,70,62.50%,112
14 14 LEWISBURGH ALL AGE SCHOOL,43,54,,,,1,98,57.99%,169
