POLLING STATION LOCATION,PNP DAWKINS EARL A.,JLP MCKENZIE DESMOND ANTHONY A.,MGPPP SEATON ARLINGTON ANTHONY,,,"BALLOTS
REJECTED","TOTAL VOTES 
(including
rejected ballots",PERCENT (%) VOTES,"ELECTORS
ON OFFICIAL
VOTERS LIST",CONSTITUENCY,ELECTORAL DIVISION
40 40 HOLY TRINITY ANGLICAN CHURCH,2,3,2,85,16,1,109,26.2,416,,
41 41 PORTMORE COMMUNITY COLLEGE,0,1,0,10,4,0,15,13.3,113,,
42 42 HEART TRAINING CENTRE,0,3,0,15,10,1,29,15.5,187,,
43 43 HEART TRAINING CENTRE,1,1,6,80,33,2,123,30.6,402,,
44 44 HEART TRAINING CENTRE,0,0,0,47,5,0,52,23.9,218,,
45 45 PORTMORE COMMUNITY COLLEGE,0,1,0,21,15,2,39,17.2,227,,
46 46 PORTMORE COMMUNITY COLLEGE,0,0,0,36,13,0,49,19.3,254,,
47 47 OLD HARBOUR HIGH SCHOOL,0,0,0,52,18,1,71,24.4,291,,
48 48 PORTMORE COMMUNITY COLLEGE,0,2,0,15,50,1,68,25.1,271,,
49 49 PORTMORE COMMUNITY COLLEGE,0,0,2,36,53,0,91,28.4,320,,
50 50 PORTMORE COMMUNITY COLLEGE,0,0,1,16,7,0,24,12.5,192,,
51 51 OLD HARBOUR CHURCH OF CHRIST BASIC,0,1,1,36,7,1,46,17.9,257,,
52 52 OLD HARBOUR CHURCH OF CHRIST BASIC,3,3,1,42,15,0,64,17.5,366,,
53 53 OLD HARBOUR CHURCH OF CHRIST BASIC,0,0,1,91,33,1,126,33.1,381,,
ELECTORAL DIVISION TOTALS 33 PSs,16,48,27,"1,634",555,27,"2,307",25.2,"9,140",,
CONSTITUENCY: ST. CATHERINE SOUTH WESTERN (53),,,,,,,,,,,
POLLING STATION LOCATION,,,,,,,,,,,
ELECTORAL DIVISION: OLD HARBOUR SOUTH (7),,,,,,,,,,,
54 54 OLD HARBOUR HIGH SCHOOL,0,3,0,20,16,1,40,15.3,262,,
55 55 OLD HARBOUR HIGH SCHOOL,0,0,0,30,11,0,41,16.8,244,,
56 56 OLD HARBOUR BAY COMMUNITY CENTRE,0,0,0,49,76,0,125,43.1,290,,
57 57 BODLES CRESENT BASIC,0,0,0,12,20,1,33,25,132,,
58 58 BODLES CRESENT BASIC,0,1,0,81,62,1,145,36.3,399,,
59 59 BODLES CRESENT BASIC,1,1,0,27,14,1,44,24,183,,
60 60 OLD HARBOUR BAY COMMUNITY CENTRE,1,1,3,93,54,0,152,43.9,346,,
61 61 OLD HARBOUR BAY COMMUNITY CENTRE,0,1,2,72,46,0,121,46.7,259,,
62 62 OLD HARBOUR BAY COMMUNITY CENTRE,1,2,0,41,48,1,93,27,345,,
63 63 OLD HARBOUR BAY COMMUNITY CENTRE,0,0,0,37,20,0,57,27.4,208,,
64 64 OLD HARBOUR BAY PRIMARY,1,0,0,69,48,0,118,44.4,266,,
65 65 OLD HARBOUR BAY PRIMARY,0,0,3,74,64,2,143,50.4,284,,
66 66 OLD HARBOUR BAY BAPTIST CHURCH BASIC,0,0,0,25,118,1,144,56.7,254,,
67 67 OLD HARBOUR BAY BAPTIST CHURCH BASIC,0,1,1,20,93,1,116,49.8,233,,
68 68 OLD HARBOUR BAY PRIMARY,0,0,1,15,31,0,47,40.2,117,,
69 69 OLD HARBOUR BAY BAPTIST CHURCH BASIC,0,1,0,43,84,0,128,46.4,276,,
70 70 OLD HARBOUR BAY BAPTIST CHURCH BASIC,0,3,1,24,42,0,70,38,184,,
71 71 OLD HARBOUR BAY PRIMARY,0,0,1,55,50,0,106,40.8,260,,
72 72 OLD HARBOUR BAY PRIMARY,0,0,1,56,38,0,95,38.6,246,,
73 73 OLD HARBOUR BAY PRIMARY,0,1,0,133,31,0,165,50.5,327,,
74 74 OLD HARBOUR BAY PRIMARY,2,0,0,81,40,1,124,42,295,,
75 75 OLD HARBOUR BAY BAPTIST CHURCH BASIC,0,1,0,73,41,2,117,48.5,241,,
76 76 OLD HARBOUR BAY BAPTIST CHURCH BASIC,0,0,0,88,23,0,111,55.8,199,,
ELECTORAL DIVISION TOTALS 23 PSs,6,16,13,"1,218","1,070",12,"2,335",39.9,"5,850",,
CONSTITUENCY: ST. CATHERINE SOUTH WESTERN (53),,,,,,,,,,,
POLLING STATION LOCATION,,,,,,,,,,,
ELECTORAL DIVISION: CHURCH PEN (8),,,,,,,,,,,
77 77 BUSHY PARK BASIC,1,0,0,15,32,0,48,13.8,348,,
78 78A BUSHY PARK BASIC,0,2,0,13,20,0,35,16.5,212,,
78 78B BUSHY PARK BASIC,0,4,1,2,29,0,36,16.9,213,,
79 79 BUSHY PARK BASIC,0,2,0,20,33,1,56,23.1,242,,
80 80 HARTLANDS PRIMARY,0,1,0,6,33,0,40,14.9,268,,
81 81 MCCOOKS SEVENTH DAY ADVENTIST CHURCH,0,1,0,79,1,0,81,25.2,321,,
82 82 MCCOOKS SEVENTH DAY ADVENTIST CHURCH,0,1,0,119,1,0,121,33.6,360,,
83 83 MCCOOKS SEVENTH DAY ADVENTIST CHURCH,1,2,0,80,1,0,84,21.2,397,,
84 84 HIGH HOUSE BASIC SCHOOL,1,1,0,84,5,1,92,25.3,363,,
